Locus,Locus_English
皮下,subcutaneous
胁肋,flank
心,heart
肺,lung
肾,kidney
乳房,breast
口腔,mouth
肝,liver
膀胱,bladder
牙龈,gum
神志,mind
小腿,calf
脑,brain
阴道,vagina
外阴,vulva
头发,hair
肠,intestine
胃,stomach
脾,spleen
四肢,limbs
眼,eyes
脉搏,pulse
背,back
咽部,pharynx
全身,body
膝盖,knee
子宫,uterus
泌尿道,urinary tract
腿,leg
头,head
胆,biliary
食管,esophagus
腹,abdomen
阴囊,scrotum
皮肤,skin
颈部,neck
血,blood
胸,chest
上消化道,upper gastrointestinal tract
少腹,belly
面,face
上肢,upper limbs
下肢,lower limbs
肛门,anus
鼻,nose
腰,waist
大肠,large intestine
下消化道,lower digestive tract
消化道,digestive tract
